val1,val2,nwin,nloose,nsplit,suited
2,2,0.4968333333333333,0.4840333333333333,0.019133333333333332,0
2,3,0.29568333333333335,0.6426166666666667,0.061700000000000005,0
2,4,0.27663333333333334,0.6650166666666667,0.058350000000000006,0
2,5,0.3118,0.6249,0.06330000000000001,0
2,6,0.3163666666666667,0.6219166666666667,0.06171666666666667,0
2,7,0.32871666666666666,0.6130666666666666,0.05821666666666667,0
2,8,0.35024999999999995,0.5942,0.055549999999999995,0
2,9,0.37305000000000005,0.57345,0.0535,0
2,10,0.40068333333333334,0.5497166666666667,0.0496,0
2,11,0.4269833333333333,0.5272333333333333,0.045783333333333336,0
2,12,0.4357,0.5255833333333334,0.03871666666666667,0
2,13,0.4899166666666666,0.4658,0.044283333333333334,0
2,14,0.5308666666666667,0.42734999999999995,0.04178333333333333,0
3,3,0.5295333333333333,0.45503333333333335,0.015433333333333334,0
3,4,0.30175,0.639,0.05925,0
3,5,0.3351,0.6013333333333334,0.06356666666666667,0
3,6,0.33571666666666666,0.6021666666666666,0.062116666666666674,0
3,7,0.3425,0.5974833333333334,0.06001666666666667,0
3,8,0.3576,0.58665,0.05575,0
3,9,0.3812166666666667,0.5654,0.05338333333333333,0
3,10,0.4125666666666667,0.5368499999999999,0.050583333333333334,0
3,11,0.43698333333333333,0.5156999999999999,0.04731666666666667,0
3,12,0.44501666666666667,0.5184166666666666,0.036566666666666664,0
3,13,0.49705,0.45941666666666664,0.043533333333333334,0
3,14,0.54175,0.41723333333333334,0.04101666666666667,0
4,4,0.5257666666666667,0.45796666666666663,0.01626666666666667,0
4,5,0.3298666666666667,0.6103,0.05983333333333333,0
4,6,0.3280666666666667,0.6134166666666666,0.05851666666666667,0
4,7,0.33348333333333335,0.61135,0.05516666666666667,0
4,8,0.3421166666666667,0.6039833333333333,0.0539,0
4,9,0.35546666666666665,0.5946166666666667,0.049916666666666665,0
4,10,0.3882666666666667,0.5628333333333333,0.0489,0
4,11,0.42145000000000005,0.5323833333333333,0.04616666666666667,0
4,12,0.42111666666666664,0.5422333333333333,0.03665,0
4,13,0.47728333333333334,0.4776,0.045116666666666666,0
4,14,0.5296333333333333,0.4285833333333333,0.04178333333333333,0
5,5,0.5881333333333333,0.39786666666666665,0.013999999999999999,0
5,6,0.37010000000000004,0.5699333333333333,0.05996666666666667,0
5,7,0.37961666666666666,0.5630000000000001,0.057383333333333335,0
5,8,0.40058333333333335,0.5431333333333334,0.05628333333333333,0
5,9,0.40835,0.5404,0.05125,0
5,10,0.42815,0.5234333333333333,0.04841666666666666,0
5,11,0.4597,0.4925333333333333,0.04776666666666667,0
5,12,0.4608833333333333,0.5034,0.03571666666666667,0
5,13,0.5151333333333333,0.44271666666666665,0.04215,0
5,14,0.5602333333333334,0.40063333333333334,0.03913333333333333,0
6,6,0.6274333333333334,0.3591333333333333,0.013433333333333334,0
6,7,0.4020333333333333,0.5438999999999999,0.05406666666666667,0
6,8,0.41486666666666666,0.5329166666666667,0.05221666666666667,0
6,9,0.43001666666666666,0.5222,0.04778333333333334,0
6,10,0.44639999999999996,0.50685,0.04674999999999999,0
6,11,0.46458333333333335,0.49196666666666666,0.043449999999999996,0
6,12,0.4758166666666667,0.4897833333333333,0.0344,0
6,13,0.5272666666666667,0.4331833333333333,0.03955,0
6,14,0.5669666666666666,0.39466666666666667,0.03836666666666667,0
7,7,0.6571666666666667,0.33286666666666664,0.009966666666666667,0
7,8,0.43706666666666666,0.5144,0.04853333333333334,0
7,9,0.45189999999999997,0.5033666666666666,0.044733333333333326,0
7,10,0.4676666666666667,0.4894,0.04293333333333333,0
7,11,0.49026666666666663,0.4707333333333333,0.039,0
7,12,0.4847166666666667,0.4812166666666667,0.03406666666666667,0
7,13,0.5402666666666667,0.42273333333333335,0.037,0
7,14,0.5769666666666667,0.38795,0.035083333333333334,0
8,8,0.6915999999999999,0.2992666666666666,0.009133333333333334,0
8,9,0.47128333333333333,0.48701666666666665,0.041699999999999994,0
8,10,0.4928166666666667,0.46751666666666664,0.03966666666666666,0
8,11,0.5059833333333333,0.45646666666666663,0.03755,0
8,12,0.5079166666666667,0.46215,0.02993333333333333,0
8,13,0.5538333333333333,0.4124833333333333,0.033683333333333336,0
8,14,0.5889333333333333,0.3796,0.031466666666666664,0
9,9,0.7223666666666667,0.2692,0.008433333333333333,0
9,10,0.5088,0.4564166666666667,0.03478333333333333,0
9,11,0.5282333333333333,0.43885,0.03291666666666667,0
9,12,0.5247,0.44766666666666666,0.027633333333333333,0
9,13,0.5711166666666666,0.3984666666666667,0.030416666666666665,0
9,14,0.60315,0.3693166666666667,0.027533333333333337,0
10,10,0.7572666666666666,0.23603333333333332,0.0067,0
10,11,0.5478,0.42396666666666666,0.028233333333333333,0
10,12,0.5447000000000001,0.4316333333333333,0.02366666666666667,0
10,13,0.5882666666666666,0.3866833333333333,0.02505,0
10,14,0.6216,0.3552666666666667,0.023133333333333336,0
11,11,0.782,0.21223333333333336,0.0057666666666666665,0
11,12,0.55445,0.42418333333333336,0.02136666666666667,0
11,13,0.5996333333333334,0.3781333333333334,0.02223333333333333,0
11,14,0.6323166666666666,0.34706666666666663,0.02061666666666667,0
12,12,0.7874333333333333,0.20756666666666668,0.005,0
12,13,0.58955,0.3915666666666667,0.018883333333333332,0
12,14,0.6185666666666667,0.36474999999999996,0.01668333333333333,0
13,13,0.8177,0.1763,0.005999999999999999,0
13,14,0.6509833333333334,0.3307833333333333,0.018233333333333334,0
14,14,0.8492333333333333,0.14459999999999998,0.006166666666666667,0
2,3,0.33399999999999996,0.60835,0.05765,1
2,4,0.31825000000000003,0.62805,0.0537,1
2,5,0.35145,0.588,0.06055,1
2,6,0.3487,0.5914,0.059899999999999995,1
2,7,0.36675,0.5776,0.05565,1
2,8,0.38215,0.56135,0.0565,1
2,9,0.403,0.5458,0.051199999999999996,1
2,10,0.43105,0.5197,0.04925,1
2,11,0.4616,0.4942,0.0442,1
2,12,0.4674,0.49755,0.03505,1
2,13,0.5188,0.4438,0.0374,1
2,14,0.55,0.41235,0.037649999999999996,1
3,4,0.34025,0.60495,0.0548,1
3,5,0.36685,0.57595,0.0572,1
3,6,0.36865,0.57335,0.058,1
3,7,0.38125,0.5661,0.05265,1
3,8,0.3964,0.548,0.0556,1
3,9,0.41565,0.5351,0.04925,1
3,10,0.43705,0.5171,0.04585,1
3,11,0.4636,0.49305,0.04335,1
3,12,0.47645,0.4888,0.03475,1
3,13,0.52975,0.42985,0.040400000000000005,1
3,14,0.56895,0.39390000000000003,0.03715,1
4,5,0.36455,0.58245,0.053,1
4,6,0.36505,0.5795,0.05545,1
4,7,0.38105,0.56475,0.0542,1
4,8,0.3818,0.5688,0.0494,1
4,9,0.39005,0.5609500000000001,0.049,1
4,10,0.42515000000000003,0.52645,0.0484,1
4,11,0.4486,0.50505,0.04635,1
4,12,0.45815,0.50605,0.0358,1
4,13,0.51035,0.448,0.04165,1
4,14,0.55555,0.4033,0.04115,1
5,6,0.3996,0.54245,0.05795,1
5,7,0.41015,0.53285,0.056999999999999995,1
5,8,0.42935,0.51805,0.0526,1
5,9,0.4457,0.50645,0.047850000000000004,1
5,10,0.4577,0.50065,0.04165,1
5,11,0.48585,0.4704,0.04375,1
5,12,0.4896,0.47495,0.035449999999999995,1
5,13,0.5397,0.4203,0.04,1
5,14,0.57875,0.38175000000000003,0.0395,1
6,7,0.4354,0.5104,0.0542,1
6,8,0.4466,0.50295,0.05045,1
6,9,0.46015,0.49505,0.0448,1
6,10,0.4818,0.47495,0.04325,1
6,11,0.49385,0.4653,0.04085,1
6,12,0.5066,0.46075,0.03265,1
6,13,0.5491,0.41315,0.03775,1
6,14,0.5854,0.3774,0.0372,1
7,8,0.46975,0.48555,0.0447,1
7,9,0.48605,0.47025,0.0437,1
7,10,0.50095,0.45785,0.0412,1
7,11,0.51495,0.44525,0.0398,1
7,12,0.51385,0.455,0.03115,1
7,13,0.56185,0.40225,0.0359,1
7,14,0.60345,0.3632,0.033350000000000005,1
8,9,0.498,0.46065,0.04135,1
8,10,0.519,0.44355,0.03745,1
8,11,0.5351,0.42895,0.035949999999999996,1
8,12,0.5231,0.4471,0.0298,1
8,13,0.5831,0.38645,0.03045,1
8,14,0.6084,0.3626,0.028999999999999998,1
9,10,0.5344,0.4301,0.035500000000000004,1
9,11,0.5501,0.4174,0.0325,1
9,12,0.5484,0.4239,0.0277,1
9,13,0.5898,0.38125,0.02895,1
9,14,0.61905,0.3536,0.02735,1
10,11,0.5719,0.4,0.0281,1
10,12,0.5701,0.4079,0.022,1
10,13,0.6125499999999999,0.36305,0.024399999999999998,1
10,14,0.63965,0.3389,0.02145,1
11,12,0.5751999999999999,0.4019,0.0229,1
11,13,0.61605,0.36165,0.0223,1
11,14,0.6523,0.32765,0.02005,1
12,13,0.6127,0.36795,0.01935,1
12,14,0.6425,0.34235,0.01515,1
13,14,0.66655,0.31520000000000004,0.01825,1
